Name	Artist	Playlist Genre	Year	Popularity
The Lazy Song	Bruno Mars	Pop	2010	73.0
Low (feat. T-Pain)	Flo Rida	Pop	2008	79.0
Viva La Vida	Coldplay	Pop	2008	78.0
You're Gonna Go Far, Kid	The Offspring	Pop	2008	77.0
I'm Yours	Jason Mraz	Pop	2008	76.5
Use Somebody	Kings of Leon	Pop	2008	75.0
Just Dance	Lady Gaga	Pop	2008	73.0
TRUE - Single Edit	Spandau Ballet	Pop	2008	72.0
Halo	Beyoncé	Pop	2008	71.5
Burnin' Up	Jonas Brothers	Pop	2008	71.0
Love Will Tear Us Apart	Joy Division	Pop	2008	71.0
Yummy	Justin Bieber	Pop	2020	95.0
You should be sad	Halsey	Pop	2020	86.0
Lose You To Love Me	Selena Gomez	Pop	2020	85.0
Rare	Selena Gomez	Pop	2020	84.25
Morado	J Balvin	Pop	2020	82.0
Godzilla (feat. Juice WRLD)	Eminem	Pop	2020	79.0
Wrong Direction	Hailee Steinfeld	Pop	2020	79.0
In Your Eyes (feat. Alida)	Robin Schulz	Pop	2020	74.0
What A Man Gotta Do	Jonas Brothers	Pop	2020	73.0
Answer	ATEEZ	Pop	2020	72.0
Beautiful Girls	Sean Kingston	Pop	2007	77.0
Bleeding Love	Leona Lewis	Pop	2007	77.0
Electric Feel	MGMT	Pop	2007	77.0
Kids	MGMT	Pop	2007	76.0
Thnks fr th Mmrs	Fall Out Boy	Pop	2007	76.0
Girlfriend	Avril Lavigne	Pop	2007	72.0
Irreplaceable	Beyoncé	Pop	2007	72.0
Bubbly	Colbie Caillat	Pop	2007	71.0
Misery Business	Paramore	Pop	2007	71.0
Paper Planes	M.I.A.	Pop	2007	71.0
Believe	Cher	Pop	1998	76.0
Always on My Mind	Pet Shop Boys	Pop	1998	70.0
One Week	Barenaked Ladies	Pop	1998	69.0
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio	Eiffel 65	Pop	1998	64.0
Boom, Boom, Boom, Boom!!	Vengaboys	Pop	1998	62.0
Amor De Papel	Sentidos Opuestos	Pop	1998	60.0
Don't Let the Sun Go Down on Me	George Michael	Pop	1998	60.0
The Wild Boys	Duran Duran	Pop	1998	54.0
We like to Party! (Six Flags)	Vengaboys	Pop	1998	51.0
Enola Gay	Orchestral Manoeuvres In The Dark	Pop	1998	17.0
Wannabe	Spice Girls	Pop	1996	79.0
Down Under	Men At Work	Pop	1996	73.0
La Calle De Las Sirenas	Kabah	Pop	1996	68.0
Children	Robert Miles	Pop	1996	67.0
Azúcar Amargo	Fey	Pop	1996	61.0
Bailando - Video Edit	Paradisio	Pop	1996	59.0
Jump	Van Halen	Pop	1996	56.0
Pepe	JEANS	Pop	1996	52.0
This Is Your Night	Amber	Pop	1996	52.0
Tu Luz	Azul Violeta	Pop	1996	50.0
All Star	Smash Mouth	Pop	1999	79.0
...Baby One More Time	Britney Spears	Pop	1999	75.0
Total Eclipse of the Heart	Bonnie Tyler	Pop	1999	74.0
Genie In a Bottle	Christina Aguilera	Pop	1999	71.0
Manto Estelar	Mœnia	Pop	1999	65.0
No Dices Mas	Mœnia	Pop	1999	62.0
The Launch - Radio Edit	DJ Jean	Pop	1999	53.0
Back in My Life	Alice DJ	Pop	1999	45.0
Quisiera Adivinar	Mœnia	Pop	1999	34.0
No Hay Palabras	Mœnia	Pop	1999	23.0
Fireflies	Owl City	Pop	2009	78.0
Party In The U.S.A.	Miley Cyrus	Pop	2009	78.0
Down	Jay Sean	Pop	2009	76.0
Secrets	OneRepublic	Pop	2009	76.0
21 Guns	Green Day	Pop	2009	75.0
You Found Me	The Fray	Pop	2009	74.0
Intro	The xx	Pop	2009	72.0
Replay	Iyaz	Pop	2009	72.0
The Climb	Miley Cyrus	Pop	2009	72.0
Like a Prayer	Madonna	Pop	2009	71.0
What Is Love	Haddaway	Pop	1993	70.0
(I Just) Died In Your Arms	Cutting Crew	Pop	1993	68.0
The Sign	Ace of Base	Pop	1993	68.0
More And More - Single Version	Captain Hollywood Project	Pop	1993	60.0
Mr. Vain	Culture Beat	Pop	1993	54.0
Got to Get It	Culture Beat	Pop	1993	48.0
Rock My Heart - Radio Mix	Haddaway	Pop	1993	44.0
Gangsta's Paradise	Coolio	Pop	1995	80.0
Ironic - 2015 Remaster	Alanis Morissette	Pop	1995	70.0
Hardcore Vibes	Dune	Pop	1995	57.0
Scatman's World	Scatman John	Pop	1995	54.0
The Bomb (These Sounds Fall Into My Mind)	The Bucketheads	Pop	1995	50.0
Think of You - Radio Edit	Whigfield	Pop	1995	50.0
Dub-I-Dub	Me & My	Pop	1995	49.0
Run Away	Real McCoy	Pop	1995	49.0
Come and Get Your Love - Radio Edit	Real McCoy	Pop	1995	41.0
Self Control	Laura Branigan	Pop	1995	40.0
Losing My Religion	R.E.M.	Pop	1991	81.0
Big in Japan - Best of-Version	Alphaville	Pop	1991	57.0
The Sparrows And The Nightingales	Wolfsheim	Pop	1991	46.0
Rhythm Is A Dancer - 12'' Version	SNAP!	Pop	1991	12.0
Love Me To The End	Deine Lakaien	Pop	1991	0.0
Love to Hate You	Erasure	Pop	1991	0.0
Metalhammer	And One	Pop	1991	0.0
Yellow	Coldplay	Pop	2000	81.0
Oops!...I Did It Again	Britney Spears	Pop	2000	76.0
Up & Down	Vengaboys	Pop	2000	61.0
We’re Going to Ibiza!	Vengaboys	Pop	2000	60.0
Too Young	Phoenix	Pop	2000	57.0
Will I Ever	Alice DJ	Pop	2000	49.0
Marian - Version	Sisters of Mercy	Pop	2000	9.0
Around the World (La La La La La) - Radio Version	A Touch Of Class	Pop	2000	5.0
Another Night	Real McCoy	Pop	2000	2.0
Basket Case	Green Day	Pop	1994	79.0
Dreams (Will Come Alive)	2 Brothers On The 4th Floor	Pop	1994	61.0
Get A Way	Maxx	Pop	1994	60.0
Think About The Way	Ice Mc	Pop	1994	59.0
Baby Baby	Corona	Pop	1994	55.0
Never Alone	2 Brothers On The 4th Floor	Pop	1994	55.0
Here I Go Again	Whitesnake	Pop	1994	53.0
Run To Me	Double You	Pop	1994	53.0
Happy People (feat. Marky Mark)	Prince Ital Joe	Pop	1994	50.0
No More (I Can't Stand It)	Maxx	Pop	1994	48.0
"Rhythm Is A Dancer - 7"" Edit"	SNAP!	Pop	1992	67.0
Rhythm Is A Dancer	SNAP!	Pop	1992	57.0
I Melt With You	Modern English	Pop	1992	46.0
If I Ever Fall In Love	Somewhere over England	Pop	1992	32.0
Celebration	Kylie Minogue	Pop	1992	27.0
Sing Hallelujah!	Dr. Alban	Pop	1992	21.0
Around the World	Daft Punk	Pop	1997	70.0
Gettin' Jiggy Wit It	Will Smith	Pop	1997	70.0
Beds Are Burning - Remastered	Midnight Oil	Pop	1997	63.0
I Want You Back - Radio Edit	*NSYNC	Pop	1997	54.0
No Puedo Estar Sin Ti	Mœnia	Pop	1997	49.0
Take Me Home, Country Roads - Rerecorded	John Denver	Pop	1997	44.0
My Oh My	Aqua	Pop	1997	43.0
It's My Life	Talk Talk	Pop	1997	41.0
A Donde	Sentidos Opuestos	Pop	1997	30.0
Such a Shame	Talk Talk	Pop	1997	30.0
I Want It That Way	Backstreet Boys	Pop	2001	76.0
Island In The Sun	Weezer	Pop	2001	75.0
Don't Stop Believin'	Journey	Pop	2001	74.0
One More Time	Daft Punk	Pop	2001	74.0
Whenever, Wherever	Shakira	Pop	2001	71.0
Harder, Better, Faster, Stronger	Daft Punk	Pop	2001	70.0
Piano Man	Billy Joel	Pop	2001	70.0
Uptown Girl	Billy Joel	Pop	2001	68.0
Get the Party Started	P!nk	Pop	2001	66.0
You Make My Dreams - Remastered	Daryl Hall & John Oates	Pop	2001	66.0
Big Girls Don't Cry (Personal)	Fergie	Pop	2006	74.0
Waiting On the World to Change	John Mayer	Pop	2006	74.0
Who Knew	P!nk	Pop	2006	69.0
Wicked Game	Chris Isaak	Pop	2006	69.0
Grace Kelly	MIKA	Pop	2006	67.0
Our Song	Taylor Swift	Pop	2006	61.0
Rosa Pastel	Belanova	Pop	2006	61.0
Enjoy the Silence	Depeche Mode	Pop	2006	58.0
"The Best of Both Worlds - From ""Hannah Montana""/Soundtrack Version"	Hannah Montana	Pop	2006	58.0
Por Ti	Belanova	Pop	2006	57.0
The Scientist	Coldplay	Pop	2002	83.0
She Will Be Loved - Radio Mix	Maroon 5	Pop	2002	80.0
Complicated	Avril Lavigne	Pop	2002	77.0
A Thousand Miles	Vanessa Carlton	Pop	2002	76.0
This Love	Maroon 5	Pop	2002	76.0
Clocks	Coldplay	Pop	2002	75.0
Cry Me a River	Justin Timberlake	Pop	2002	74.0
In My Place	Coldplay	Pop	2002	70.0
Mad World (Feat. Michael Andrews)	Gary Jules	Pop	2002	70.0
Jenny from the Block (feat. Jadakiss & Styles P.) - Track Masters Remix	Jennifer Lopez	Pop	2002	65.0
Toxic	Britney Spears	Pop	2003	78.0
I'm Gonna Be (500 Miles)	The Proclaimers	Pop	2003	74.0
Stacy's Mom	Fountains Of Wayne	Pop	2003	73.0
Crazy In Love (feat. Jay-Z)	Beyoncé	Pop	2003	69.0
All Out of Love	Air Supply	Pop	2003	64.0
Go West - 2003 Remaster	Pet Shop Boys	Pop	2003	63.0
12:51	The Strokes	Pop	2003	61.0
Tell It to My Heart	Taylor Dayne	Pop	2003	56.0
Tus Ojos	Belanova	Pop	2003	56.0
Come Clean	Hilary Duff	Pop	2003	55.0
Fix You	Coldplay	Pop	2005	81.0
Hey There Delilah	Plain White T's	Pop	2005	80.0
Hips Don't Lie (feat. Wyclef Jean)	Shakira	Pop	2005	80.0
Bad Day	Daniel Powter	Pop	2005	76.0
Ridin'	Chamillionaire	Pop	2005	69.0
Ni Tú Ni Nadie	Mœnia	Pop	2005	68.0
Don't Cha	The Pussycat Dolls	Pop	2005	66.0
Just the Girl	The Click Five	Pop	2005	59.0
God Is a DJ	Faithless	Pop	2005	57.0
Hard to Say I'm Sorry / Get Away - 2005 Remaster	Chicago	Pop	2005	49.0
Thunderstruck	AC/DC	Pop	1990	81.0
Cherry Pie	Warrant	Pop	1990	62.5
I Promised Myself	Nick Kamen	Pop	1990	61.0
The Power	SNAP!	Pop	1990	59.0
Such a Shame	Talk Talk	Pop	1990	57.0
Vogue - Edit	Madonna	Pop	1990	51.0
Always The Sun - Sunny Side Up Mix	The Stranglers	Pop	1990	50.0
World In My Eyes - 2006 Remastered Version	Depeche Mode	Pop	1990	49.0
Manic Monday	The Bangles	Pop	1990	48.0
"""This Is Seagull…."""	The Snake Corps	Pop	1990	34.0
Yeah! (feat. Lil Jon & Ludacris)	Usher	Pop	2004	79.0
American Idiot	Green Day	Pop	2004	78.0
Unwritten	Natasha Bedingfield	Pop	2004	76.0
Take Me Out	Franz Ferdinand	Pop	2004	73.0
Beautiful Soul	Jesse McCartney	Pop	2004	72.0
Because of You	Kelly Clarkson	Pop	2004	71.0
Somebody Told Me	The Killers	Pop	2004	69.0
Since U Been Gone	Kelly Clarkson	Pop	2004	68.0
Walk Like an Egyptian	The Bangles	Pop	2004	63.0
Breakaway	Kelly Clarkson	Pop	2004	61.0
Fast Car	Tracy Chapman	Pop	1988	77.0
Listen to Your Heart	Roxette	Pop	1988	75.0
The Look	Roxette	Pop	1988	72.0
A Little Respect - 2009 Remastered Version	Erasure	Pop	1988	69.0
The Promise	When In Rome	Pop	1988	63.0
Headhunter V1.0	Front 242	Pop	1988	42.0
Voice of Chunk	The Lounge Lizards	Pop	1988	35.0
Perfect Machine	Herbie Hancock	Pop	1988	12.0
Running	Information Society	Pop	1988	0.0
I Want to Know What Love Is - 1999 Remaster	Foreigner	Pop	1984	77.0
Can't Fight This Feeling	REO Speedwagon	Pop	1984	73.0
We're Not Gonna Take It	Twisted Sister	Pop	1984	73.0
We Belong	Pat Benatar	Pop	1984	66.0
Big in Japan	Alphaville	Pop	1984	65.0
"Rasputin - 7"" Version"	Boney M.	Pop	1984	59.0
Material Girl	Madonna	Pop	1984	54.0
Tinseltown in the Rain	The Blue Nile	Pop	1984	54.0
Sounds Like a Melody	Alphaville	Pop	1984	53.0
Song To The Siren (Remastered)	This Mortal Coil	Pop	1984	51.0
Beat It - Single Version	Michael Jackson	Pop	1982	77.0
Hungry Like the Wolf - 2009 Remaster	Duran Duran	Pop	1982	71.0
Rio - 2009 Remaster	Duran Duran	Pop	1982	61.0
Shadows Of The Night	Pat Benatar	Pop	1982	55.0
Let Me Go	Heaven 17	Pop	1982	44.0
Leave in Silence - 2006 Remaster	Depeche Mode	Pop	1982	30.0
Heat Of The Moment	Asia	Pop	1982	8.0
Hooked on a Feeling	Blue Swede	Pop	1973	75.0
Boys Don't Cry	The Cure	Pop	1979	73.0
Escape (The Pina Colada Song)	Rupert Holmes	Pop	1979	71.0
Don't Bring Me Down	Electric Light Orchestra	Pop	1979	70.0
Are 'Friends' Electric?	Gary Numan / Tubeway Army	Pop	1979	51.0
Godzilla	Blue Öyster Cult	Pop	1977	62.0
Don't You Want Me	The Human League	Pop	1981	74.0
Just Can't Get Enough	Depeche Mode	Pop	1981	71.0
Juke Box Hero	Foreigner	Pop	1981	67.0
Working for the Weekend	Loverboy	Pop	1981	66.0
Souvenir - Remastered 2003	Orchestral Manoeuvres In The Dark	Pop	1981	54.0
Love Song	Simple Minds	Pop	1981	42.0
Photographic	Depeche Mode	Pop	1981	40.0
Georgia - 2003 Digital Remaster	Orchestral Manoeuvres In The Dark	Pop	1981	32.0
Bedsitter	Soft Cell	Pop	1981	18.0
Light in Darkness	YELLOW MAGIC ORCHESTRA	Pop	1981	16.0
Sweet Home Alabama	Lynyrd Skynyrd	Pop	1974	27.0
Immigrant Song - Remaster	Led Zeppelin	Pop	1970	77.0
More Than a Feeling	Boston	Pop	1976	78.0
Carry on Wayward Son	Kansas	Pop	1976	74.0
Sweet Child O' Mine	Guns N' Roses	Pop	1987	82.0
With Or Without You - Remastered	U2	Pop	1987	79.0
Welcome To The Jungle	Guns N' Roses	Pop	1987	78.0
Faith - Remastered	George Michael	Pop	1987	75.0
Pour Some Sugar On Me - Remastered 2017	Def Leppard	Pop	1987	74.0
Never Gonna Give You Up	Rick Astley	Pop	1987	66.0
The One I Love - Remastered	R.E.M.	Pop	1987	63.0
It's a Sin - 2001 Remaster	Pet Shop Boys	Pop	1987	38.0
Poem Without Words 2 - Journey By Night	Anne Clark	Pop	1987	37.0
My Bag	Lloyd Cole and the Commotions	Pop	1987	32.0
Don't Stop Me Now - 2011 Mix	Queen	Pop	1978	75.0
Hold the Line	TOTO	Pop	1978	75.0
You Really Got Me - 2015 Remaster	Van Halen	Pop	1978	64.0
Moving in Stereo	The Cars	Pop	1978	56.0
One Way Or Another	Blondie	Pop	1978	55.0
Metropolis - 2009 Remastered Version	Kraftwerk	Pop	1978	36.0
This Island Earth	Bryan Ferry	Pop	1978	15.0
Fortunate Son	Creedence Clearwater Revival	Pop	1969	80.0
Kiss	Prince	Pop	1986	73.0
(I Just) Died In Your Arms	Cutting Crew	Pop	1986	71.0
Bizarre Love Triangle	New Order	Pop	1986	67.0
West End Girls - 2001 Remaster	Pet Shop Boys	Pop	1986	58.0
Livin' On A Prayer	Bon Jovi	Pop	1986	24.0
You Give Love A Bad Name	Bon Jovi	Pop	1986	16.0
The Lady In Red	Chris de Burgh	Pop	1986	14.0
Venus	Bananarama	Pop	1986	6.0
Sunday Morning	The Bolshoi	Pop	1986	1.0
Away	The Bolshoi	Pop	1986	0.0
Back In Black	AC/DC	Pop	1980	83.0
You Shook Me All Night Long	AC/DC	Pop	1980	78.0
Any Way You Want It	Journey	Pop	1980	71.0
Video Killed The Radio Star	The Buggles	Pop	1980	70.0
Rebel, Rebel	Shaun Cassidy	Pop	1980	18.0
Johnny And Mary	Robert Palmer	Pop	1980	6.0
Sweet Dreams (Are Made of This) - Remastered	Eurythmics	Pop	1983	81.0
Girls Just Want to Have Fun	Cyndi Lauper	Pop	1983	76.0
Separate Ways (Worlds Apart)	Journey	Pop	1983	67.0
Karma Chameleon	Culture Club	Pop	1983	64.0
Here Comes the Rain Again - Remastered Version	Eurythmics	Pop	1983	62.0
Send Me An Angel	Real Life	Pop	1983	55.0
Terra Titanic	Peter Schilling	Pop	1983	49.0
Solidarity	Angelic Upstarts	Pop	1983	33.0
Telegraph	Orchestral Manoeuvres In The Dark	Pop	1983	33.0
Get The Balance Right! - Combination Mix	Depeche Mode	Pop	1983	24.0
Take on Me	a-ha	Pop	1985	83.0
Your Love	The Outfield	Pop	1985	70.0
Just the Two of Us (feat. Bill Withers)	Grover Washington, Jr.	Pop	1985	66.0
Broken Wings	Mr. Mister	Pop	1985	65.0
Gimme Gimme Gimme (with Patti Austin)	Narada Michael Walden	Pop	1985	46.0
Brothers In Arms	Dire Straits	Pop	1985	24.0
You Spin Me Round (Like a Record)	Dead Or Alive	Pop	1985	17.0
Everybody Wants To Rule The World - Extended Version	Tears For Fears	Pop	1985	2.0
Right Here Waiting	Richard Marx	Pop	1989	75.0
If I Could Turn Back Time	Cher	Pop	1989	72.0
Jump (For My Love)	The Pointer Sisters	Pop	1989	63.0
Major Tom - Coming Home	Peter Schilling	Pop	1989	58.0
No me importa nada	Luz Casal	Pop	1989	56.0
So Alive	Love and Rockets	Pop	1989	52.0
Vagabonds	New Model Army	Pop	1989	43.0
Somebody	Escape With Romeo	Pop	1989	32.0
Something Good	Paul Haig	Pop	1989	23.0
Golden Dreams	Invisible Limits	Pop	1989	0.0
On the Road Again - Live	Willie Nelson	Pop	1975	51.0
The Box	Roddy Ricch	Rap	2019	98.0
Tusa	KAROL G	Rap	2019	98.0
HIGHEST IN THE ROOM	Travis Scott	Rap	2019	94.0
BOP	DaBaby	Rap	2019	93.0
Heartless	The Weeknd	Rap	2019	93.0
Vete	Bad Bunny	Rap	2019	93.0
Bandit (with YoungBoy Never Broke Again)	Juice WRLD	Rap	2019	92.0
Fantasias	Rauw Alejandro	Rap	2019	92.0
No Idea	Don Toliver	Rap	2019	92.0
Ayy Macarena	Tyga	Rap	2019	91.0
Falling	Trevor Daniel	Rap	2018	97.0
rockstar (feat. 21 Savage)	Post Malone	Rap	2018	88.0
SAD!	XXXTENTACION	Rap	2018	87.0
SICKO MODE	Travis Scott	Rap	2018	87.0
Going Bad (feat. Drake)	Meek Mill	Rap	2018	85.0
Murder On My Mind	YNW Melly	Rap	2018	85.0
Swervin (feat. 6ix9ine)	A Boogie Wit da Hoodie	Rap	2018	85.0
Drip Too Hard (Lil Baby & Gunna)	Lil Baby	Rap	2018	84.0
Falling Down - Bonus Track	Lil Peep	Rap	2018	83.0
MIA (feat. Drake)	Bad Bunny	Rap	2018	83.0
Jocelyn Flores	XXXTENTACION	Rap	2017	86.0
Fuck Love (feat. Trippie Redd)	XXXTENTACION	Rap	2017	84.0
Ric Flair Drip (& Metro Boomin)	Offset	Rap	2017	81.0
LOVE. FEAT. ZACARI.	Kendrick Lamar	Rap	2017	80.0
Save That Shit	Lil Peep	Rap	2017	80.0
DNA.	Kendrick Lamar	Rap	2017	79.0
Look At Me!	XXXTENTACION	Rap	2017	79.0
Kraazy	Likybo	Rap	2017	78.0
Bad and Boujee (feat. Lil Uzi Vert)	Migos	Rap	2017	77.0
Crew (feat. Brent Faiyaz & Shy Glizzy)	GoldLink	Rap	2017	76.0
goosebumps	Travis Scott	Rap	2016	86.0
Closer (feat. Halsey)	The Chainsmokers	Rap	2016	85.0
Don't Let Me Down	The Chainsmokers	Rap	2016	81.0
This Is What You Came For	Calvin Harris	Rap	2016	79.0
Work from Home (feat. Ty Dolla $ign)	Fifth Harmony	Rap	2016	78.0
Broken	Lund	Rap	2016	77.0
Chill Bill (feat. J. Davi$ & Spooks)	Rob $tone	Rap	2016	77.0
Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)	Lil Wayne	Rap	2016	77.0
Money Longer	Lil Uzi Vert	Rap	2016	76.0
No Problem (feat. Lil Wayne & 2 Chainz)	Chance the Rapper	Rap	2016	74.0
No Role Modelz	J. Cole	Rap	2014	82.0
Hot N*gga	Bobby Shmurda	Rap	2014	74.0
I Mean It (feat. Remo)	G-Eazy	Rap	2014	74.0
Collard Greens	ScHoolboy Q	Rap	2014	72.0
You & Me - Flume Remix	Disclosure	Rap	2014	72.0
7/11	Beyoncé	Rap	2014	71.0
Trophies	Young Money	Rap	2014	71.0
Post to Be (feat. Chris Brown & Jhene Aiko)	Omarion	Rap	2014	70.0
Si Te Vienen a Contar	Cartel De Santa	Rap	2014	70.0
Lifestyle	Rich Gang	Rap	2014	69.0
Wild Ones (feat. Sia)	Flo Rida	Rap	2012	76.0
Starships	Nicki Minaj	Rap	2012	73.0
Jeremías 17-5	Canserbero	Rap	2012	68.0
Poetic Justice	Kendrick Lamar	Rap	2012	68.0
Backseat Freestyle	Kendrick Lamar	Rap	2012	67.0
Ayy Ladies	Travis Porter	Rap	2012	66.0
Play Hard (feat. Ne-Yo & Akon)	David Guetta	Rap	2012	66.0
m.A.A.d city	Kendrick Lamar	Rap	2012	66.0
Love Sosa	Chief Keef	Rap	2012	64.0
Party We Will Throw Now!	Warren G	Rap	2012	64.0
Don't	Bryson Tiller	Rap	2015	80.0
Exchange	Bryson Tiller	Rap	2015	79.0
Antidote	Travis Scott	Rap	2015	77.0
Kill Yourself (Part III)	$uicideBoy$	Rap	2015	77.0
Weekend (feat. Miguel)	Mac Miller	Rap	2015	77.0
Come Get Her	Rae Sremmurd	Rap	2015	76.0
679 (feat. Remy Boyz)	Fetty Wap	Rap	2015	75.0
Bitch Better Have My Money	Rihanna	Rap	2015	75.0
Paris	$uicideBoy$	Rap	2015	75.0
Adventure of a Lifetime	Coldplay	Rap	2015	74.0
Black Skinhead	Kanye West	Rap	2013	75.0
Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)	A$AP Ferg	Rap	2013	71.0
DJ Turn It Up	Yellow Claw	Rap	2013	69.0
23	Mike WiLL Made-It	Rap	2013	68.0
Bandz A Make Her Dance (feat. Lil' Wayne & 2 Chainz)	Juicy J	Rap	2013	65.0
Switch Lanes	Tyga	Rap	2013	64.0
Harlem Shake	Baauer	Rap	2013	62.0
I Luv This Shit	August Alsina	Rap	2013	61.0
Band Plays On	Lil Wyte	Rap	2013	59.0
We Own It (Fast & Furious)	2 Chainz	Rap	2013	59.0
Ni**as In Paris	JAY-Z	Rap	2011	77.0
